Date,Open,High,Low,Close
09/13/2018,"6,308","6,524","6,298","6,467"
09/12/2018,"6,253","6,332","6,204","6,308"
09/11/2018,"6,302","6,391","6,190","6,254"
09/10/2018,"6,387","6,390","6,216","6,300"
09/09/2018,"6,173","6,438","6,157","6,387"
09/08/2018,"6,447","6,466","6,120","6,173"
09/07/2018,"6,444","6,531","6,330","6,445"
09/06/2018,"6,952","6,981","6,279","6,444"
09/05/2018,"7,363","7,387","6,866","6,948"
09/04/2018,"7,299","7,404","7,237","7,363"
09/03/2018,"7,282","7,325","7,198","7,299"
09/02/2018,"7,195","7,328","7,137","7,282"
09/01/2018,"7,043","7,260","7,003","7,195"
08/31/2018,"6,913","7,084","6,899","7,044"
08/30/2018,"7,039","7,064","6,801","6,911"
08/29/2018,"7,082","7,120","6,922","7,039"
08/28/2018,"6,721","7,125","6,715","7,082"
08/27/2018,"6,678","6,750","6,658","6,721"
08/26/2018,"6,719","6,774","6,579","6,677"
08/25/2018,"6,612","6,934","6,611","6,720"
08/24/2018,"6,419","6,643","6,419","6,612"
08/23/2018,"6,334","6,482","6,257","6,419"
08/22/2018,"6,452","6,859","6,317","6,334"
08/21/2018,"6,454","6,480","6,239","6,447"
08/20/2018,"6,519","6,543","6,393","6,452"
08/19/2018,"6,359","6,534","6,317","6,519"
08/18/2018,"6,476","6,610","6,310","6,359"
08/17/2018,"6,256","6,551","6,234","6,476"
08/16/2018,"6,377","6,471","6,223","6,254"
08/15/2018,"6,081","6,613","6,073","6,373"
08/14/2018,"6,277","6,283","5,900","6,081"
08/13/2018,"6,339","6,535","6,165","6,277"
08/12/2018,"6,418","6,465","6,178","6,339"
08/11/2018,"6,191","6,462","6,009","6,399"
08/10/2018,"6,508","6,622","6,152","6,186"
08/09/2018,"6,316","6,536","6,204","6,508"
08/08/2018,"6,874","6,879","6,133","6,316"
08/07/2018,"6,920","7,149","6,845","6,874"
08/06/2018,"7,049","7,146","6,885","6,920"
08/05/2018,"6,982","7,082","6,894","7,037"
08/04/2018,"7,389","7,485","6,933","6,982"
08/03/2018,"7,556","7,565","7,290","7,389"
08/02/2018,"7,483","7,701","7,444","7,556"
08/01/2018,"7,693","7,769","7,469","7,484"
07/31/2018,"8,152","8,195","7,672","7,692"
07/30/2018,"8,192","8,271","7,860","8,151"
07/29/2018,"8,169","8,283","8,124","8,192"
07/28/2018,"8,228","8,267","8,074","8,169"
07/27/2018,"8,138","8,270","7,799","8,229"
07/26/2018,"8,181","8,317","8,113","8,134"
07/25/2018,"8,227","8,479","8,062","8,183"
07/24/2018,"7,703","8,343","7,694","8,227"
07/23/2018,"7,520","7,785","7,344","7,703"
07/22/2018,"7,416","7,544","7,351","7,520"
07/21/2018,"7,351","7,442","7,217","7,416"
07/20/2018,"7,421","7,657","7,273","7,352"
07/19/2018,"7,336","7,506","7,285","7,421"
07/18/2018,"7,311","7,575","7,245","7,336"
07/17/2018,"6,663","7,440","6,647","7,311"
07/16/2018,"6,374","6,698","6,332","6,663"
07/15/2018,"6,273","6,384","6,234","6,373"
07/14/2018,"6,186","6,306","6,184","6,274"
07/13/2018,"6,173","6,331","6,088","6,186"
07/12/2018,"6,356","6,382","6,148","6,173"
07/11/2018,"6,388","6,401","6,289","6,356"
07/10/2018,"6,697","6,792","6,324","6,388"
07/09/2018,"6,747","6,753","6,673","6,697"
